You are a database-design expert. From the information about ONE CSV file below, infer a normalized (3NF) ERD: entities, attributes, primary keys, foreign keys, and relationships with cardinalities. A denormalized CSV may represent several entities — normalize it into the appropriate entities and wire the foreign keys. Use meaningful, singular entity names. Base every declaration strictly on the provided input: declare only entities, attributes, and relationships that are evidenced by the data (and by the expert context, when provided). Do NOT invent or assume attributes, entities, or relationships that are not present in the input. Output ONLY the plain-text declarations below, one per line — no prose, no markdown, no JSON, no comments.

DOMAIN CONTEXT (provided by a domain expert)
This dataset is about a manufacturing process, where clients place orders that are produced in different work-centers.

BUSINESS RULES AND CONSTRAINTS (provided by a domain expert)
The following rules and constraints govern the domain and must be reflected in the ERD:
- Clients place orders; the same client may place many orders over time.
- An order passes through different operations until it is completed; each operation execution consumes a material, and operations of the same order may consume different materials.
- The same operation type may be related to different orders.
- Operations are executed at work centers; a work center executes operations for many orders over time.
- Each order has a system registration date; each operation execution has a start date and time, as well as a quantity.
- Quantity must be greater than zero.

OUTPUT FORMAT
ENTITY <EntityName>
PK <column>[, <column> ...]
ATTR <column> : <data_type>[ : PK][ : FK]
REL <FromEntity> -> <ToEntity> : <from_cardinality> -> <to_cardinality> : FK=<fk_column>

Declare each entity (ENTITY, then its PK line, then one ATTR line per column), then every relationship. Cardinalities are one of: 1, 0..1, 0..N, 1..N. In every REL line, <FromEntity> is the entity that holds the foreign key column and <ToEntity> is the referenced entity; <from_cardinality> is how many FromEntity instances relate to one ToEntity instance, and <to_cardinality> is how many ToEntity instances relate to one FromEntity instance (in the example below: an author has 0..N books, and a book has exactly 1 author).

EXAMPLE (syntax only — an unrelated domain)
ENTITY Author
PK author_id
ATTR author_id : integer : PK
ATTR author_name : varchar
ENTITY Book
PK isbn
ATTR isbn : varchar : PK
ATTR title : varchar
ATTR author_id : integer : FK
REL Book -> Author : 0..N -> 1 : FK=author_id

INPUT
The following is a representative sample of 160 rows from a larger dataset of 1000 rows.

c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
1,Client_01,1,2026-01-01,1,Material_01,1,Operation_01,1,1,2026-01-01 08:00:00,75.0
1,Client_01,1,2026-01-01,6,Material_06,2,Operation_02,2,2,2026-01-01 08:15:00,100.0
1,Client_01,1,2026-01-01,11,Material_11,3,Operation_03,3,3,2026-01-01 08:30:00,125.0
1,Client_01,1,2026-01-01,16,Material_16,4,Operation_04,4,4,2026-01-01 08:45:00,150.0
10,Client_10,10,2026-01-10,10,Material_10,1,Operation_01,2,37,2026-01-10 08:00:00,100.0
10,Client_10,10,2026-01-10,15,Material_15,2,Operation_02,3,38,2026-01-10 08:15:00,125.0
10,Client_10,10,2026-01-10,20,Material_20,3,Operation_03,4,39,2026-01-10 08:30:00,150.0
10,Client_10,10,2026-01-10,25,Material_25,3,Operation_03,5,40,2026-01-10 08:45:00,150.0
11,Client_11,11,2026-01-11,11,Material_11,1,Operation_01,3,41,2026-01-11 08:00:00,125.0
11,Client_11,11,2026-01-11,16,Material_16,2,Operation_02,4,42,2026-01-11 08:15:00,150.0
11,Client_11,11,2026-01-11,21,Material_21,3,Operation_03,5,43,2026-01-11 08:30:00,175.0
11,Client_11,11,2026-01-11,1,Material_01,4,Operation_04,6,44,2026-01-11 08:45:00,200.0
12,Client_12,12,2026-01-12,12,Material_12,1,Operation_01,4,45,2026-01-12 08:00:00,150.0
12,Client_12,12,2026-01-12,17,Material_17,2,Operation_02,5,46,2026-01-12 08:15:00,175.0
12,Client_12,12,2026-01-12,22,Material_22,3,Operation_03,6,47,2026-01-12 08:30:00,200.0
12,Client_12,12,2026-01-12,22,Material_22,4,Operation_04,7,48,2026-01-12 08:45:00,25.0
13,Client_13,13,2026-01-13,13,Material_13,1,Operation_01,5,49,2026-01-13 08:00:00,175.0
13,Client_13,13,2026-01-13,18,Material_18,2,Operation_02,6,50,2026-01-13 08:15:00,200.0
13,Client_13,13,2026-01-13,23,Material_23,3,Operation_03,7,51,2026-01-13 08:30:00,25.0
13,Client_13,13,2026-01-13,3,Material_03,4,Operation_04,8,52,2026-01-13 08:45:00,50.0
20,Client_20,100,2026-04-10,25,Material_25,1,Operation_01,4,397,2026-04-10 08:00:00,150.0
20,Client_20,100,2026-04-10,5,Material_05,2,Operation_02,5,398,2026-04-10 08:15:00,175.0
20,Client_20,100,2026-04-10,10,Material_10,3,Operation_03,6,399,2026-04-10 08:30:00,200.0
20,Client_20,100,2026-04-10,15,Material_15,3,Operation_03,7,400,2026-04-10 08:45:00,200.0
21,Client_21,101,2026-04-11,1,Material_01,1,Operation_01,5,401,2026-04-11 08:00:00,175.0
21,Client_21,101,2026-04-11,6,Material_06,2,Operation_02,6,402,2026-04-11 08:15:00,200.0
21,Client_21,101,2026-04-11,11,Material_11,3,Operation_03,7,403,2026-04-11 08:30:00,25.0
21,Client_21,101,2026-04-11,16,Material_16,4,Operation_04,8,404,2026-04-11 08:45:00,50.0
22,Client_22,102,2026-04-12,2,Material_02,1,Operation_01,6,405,2026-04-12 08:00:00,200.0
22,Client_22,102,2026-04-12,7,Material_07,2,Operation_02,7,406,2026-04-12 08:15:00,25.0
22,Client_22,102,2026-04-12,12,Material_12,3,Operation_03,8,407,2026-04-12 08:30:00,50.0
22,Client_22,102,2026-04-12,12,Material_12,4,Operation_04,1,408,2026-04-12 08:45:00,75.0
23,Client_23,103,2026-04-13,3,Material_03,1,Operation_01,7,409,2026-04-13 08:00:00,25.0
23,Client_23,103,2026-04-13,8,Material_08,2,Operation_02,8,410,2026-04-13 08:15:00,50.0
23,Client_23,103,2026-04-13,13,Material_13,3,Operation_03,1,411,2026-04-13 08:30:00,75.0
23,Client_23,103,2026-04-13,18,Material_18,4,Operation_04,2,412,2026-04-13 08:45:00,100.0
24,Client_24,104,2026-04-14,4,Material_04,1,Operation_01,8,413,2026-04-14 08:00:00,50.0
24,Client_24,104,2026-04-14,9,Material_09,2,Operation_02,1,414,2026-04-14 08:15:00,75.0
24,Client_24,104,2026-04-14,14,Material_14,3,Operation_03,2,415,2026-04-14 08:30:00,100.0
